date,term,value
2020-11-22,World Bank,35
2020-11-29,World Bank,36
2020-12-06,World Bank,38
2020-12-13,World Bank,37
2020-12-20,World Bank,31
2020-12-27,World Bank,30
2021-01-03,World Bank,38
2021-01-10,World Bank,36
2021-01-17,World Bank,39
2021-01-24,World Bank,39
2021-01-31,World Bank,38
2021-02-07,World Bank,36
2021-02-14,World Bank,36
2021-02-21,World Bank,39
2021-02-28,World Bank,37
2021-03-07,World Bank,39
2021-03-14,World Bank,39
2021-03-21,World Bank,37
2021-03-28,World Bank,36
2021-04-04,World Bank,37
2021-04-11,World Bank,36
2021-04-18,World Bank,35
2021-04-25,World Bank,37
2021-05-02,World Bank,35
2021-05-09,World Bank,34
2021-05-16,World Bank,36
2021-05-23,World Bank,36
2021-05-30,World Bank,36
2021-06-06,World Bank,38
2021-06-13,World Bank,37
2021-06-20,World Bank,34
2021-06-27,World Bank,36
2021-07-04,World Bank,34
2021-07-11,World Bank,38
2021-07-18,World Bank,33
2021-07-25,World Bank,34
2021-08-01,World Bank,33
2021-08-08,World Bank,32
2021-08-15,World Bank,34
2021-08-22,World Bank,36
2021-08-29,World Bank,34
2021-09-05,World Bank,37
2021-09-12,World Bank,41
2021-09-19,World Bank,39
2021-09-26,World Bank,38
2021-10-03,World Bank,37
2021-10-10,World Bank,41
2021-10-17,World Bank,41
2021-10-24,World Bank,48
2021-10-31,World Bank,46
2021-11-07,World Bank,43
2021-11-14,World Bank,40
2021-11-21,World Bank,35
2021-11-28,World Bank,37
2021-12-05,World Bank,35
2021-12-12,World Bank,35
2021-12-19,World Bank,29
2021-12-26,World Bank,27
2022-01-02,World Bank,33
2022-01-09,World Bank,34
2022-01-16,World Bank,36
2022-01-23,World Bank,34
2022-01-30,World Bank,39
2022-02-06,World Bank,35
2022-02-13,World Bank,35
2022-02-20,World Bank,37
2022-02-27,World Bank,42
2022-03-06,World Bank,40
2022-03-13,World Bank,38
2022-03-20,World Bank,40
2022-03-27,World Bank,39
